이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
대상무형: 운명을 삼킨 퇴마사,naverseries,Zhaoxiayu,OWL CLUB,소년,연재중,수,3,8.7,196,3화,"요령은 영(灵), 정(精), 괴(怪), 신(神)으로 나뉘며,인간 이외에 다른 종족을 일컫는다사람과 요령이 함께 공존하는 세상 그러나 평범한 사람은평생을 가도 결코 요령의 존재를 모르고 살아간다인간사회의 평화를 유지하기 위해요령을 관리하는 비밀스러운 조직 ‘요성사’가 존재하지만,세상엔 아직도 그들의 손이 닿지 않은 곳이 너무 많다어두운 뒷면에서 일어나는 요령들의 반란,그리고 그것을 막는 요성사이들의 첨예한 공방전이 시작된다접기",https://series.naver.com/comic/detail.series?productNo=8275080&sortOrder=DESC#priceInfo
노 모어 프린스,naverseries,밀밭,만물상,순정,완결,목,36,9.9,9,2화,"""왕자들은 죄다 똑같은 말뿐이네 다들 제노를 엄청 좋아하나봐 다들 제노만 열심히 찾잖아""숲 속에 갇힌 공주님과 불을 뿜는 드래건세간에 알려진 것과 달리 공주 미카엘라와 드래건 제노는 단순한 납치범과 인질의 관계가 아니다집사? 호위병? 돌아가신 어머니 힐디안의 늙지 않는 친구?어느 쪽이든 미카엘라의 아침잠을 깨우는 왕자들보다야 백배 낫다그러던 어느 날, 왕자의 독에 당한 제노는 의식을 잃고 몸은 점점 달아오르는데'만물상' 작가의 첫 노블코믹스접기",https://series.naver.com/comic/detail.series?productNo=8541304&sortOrder=DESC#priceInfo
와이키키 뱀파이어,naverseries,요니요니,요니요니,드라마,완결,28일,57,9.9,91,10화,고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군 어느 날 그는 잘못된 주소로 배달을 갔다가 그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데…접기,https://series.naver.com/comic/detail.series?productNo=5008401&sortOrder=DESC#priceInfo
팔이피플,naverseries,매미,희세,드라마,연재중,일,74,9.9,105,102화,"<마스크걸>, <위대한 방옥숙> 매미/희세 작가의 신작SNS에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=6406852&sortOrder=DESC#priceInfo
멸망한 세계를 되살리는 방법,naverseries,,Chen Xi,소년,연재중,수,1,6.7,181,3화,"과학 실험 때문에 기존 인류가 멸망하고, 지구의 환경이 바뀌는 사건이 일어난다 시간이 흘러 지구엔 동물화 인간과 기계화 인간 새로운 2 종족이 나타나고, 시간이 흐르면 흐를수록 두 종족 사이의 문명 격차가 커져, 기계화 인간이 동물화 인간을 짓누르는 일(동물화 인간을 노예로 부려먹는)이 생겨나기 시작한다 사실 인류들에겐 세상을 전으로 되돌릴 방법이 있었다 한 세대에 한번 동물화 인간, 기계화 인간 이 두 종족 사이엔 순수 인간이 태어나는데, 이 순수 인간이 지구 어딘가 숨겨져 있는 장치를 발동하면 세계를 원래대로 되돌릴 수 있었던 것 하지만 기계 인간 측에선 인류가 진화한 것인데, 이를 되돌릴 필요가 없다며, 매 세대 동물화 인간에서 태어나는 순수 인간을 찾아 죽여왔던 것 그렇게 우연히 노예시장으로 끌려가는 여주를 남주가 구하게 되고, 둘은 함께 세계를 원래대로 되돌리기 위한 여정을 떠난다접기",https://series.naver.com/comic/detail.series?productNo=6519205&sortOrder=DESC#priceInfo
검도능천,naverseries,,소명태극,무협,완결,금,4,8.0,55,4화,"한 때 천재 검사라고 불리었던 강주원승승장구하고 있던 어느 날, 검원 각성에 실패하여그의 검사로서의 인생은 한순간에 몰락하고 말았다결국 자신이 속했던 현검문에서도 누군가의 음해를 받고 쫓겨나자포자기하고 있던 그 때, 그의 머릿속에서 [검묘 시스템]이라는존재가 말을 걸기 시작했다검원 봉인한 것은 자신이며 자신이 하달하는 임무를 성공한다면검원 봉인을 풀어줌과 동시에 명검을 준다고 하였는데강주원의 화려한 귀환시스템과 함께 최강의 검사가 되리라접기",https://series.naver.com/comic/detail.series?productNo=8115607&sortOrder=DESC#priceInfo
대귀갑사,naverseries,당가삼소,DL.Sir,소년,완결,목,6,8.4,141,6화,"양부모의 손에 자란 주인공 '강유'는 마을 10대 악인들 중 하나로, 다른 양아치들마저도 무서워서 피하는 인물이다그러던 어느 날, 갑자기 선심이 발동하여 벼랑 끝에서 자살하려는 한 남자 '임천'을 구해주고 자신의 부하로 삼는다임천도 자신을 구해준 강유가 수행의 대문파 '천기문'의 제자를 뽑는 '선발'에 통과 될 뻔했던 사실을 알게 되고, '선발'에 참여하기 위한 기회를 얻기 위해 그를 따라다니는데임천은 자신을 위해 노력하는 강유에게 고마운 감정을 느낌과 동시에 자신보다 잘하는게 많고 똑똑한 주인공을 질투하기 시작한다 그러다 결국, 천기문의 선발에서 강유는 떨어지고 본인만 합격하자 점점 숨겨왔던 본성을 드러내기 시작한다한편, 현실을 받아들이고 평범하게 살기로 마음 먹은 강유는 우연히 몇 개의 주사위를 얻게 되면서 신기한 힘이 생기게 되는데접기",https://series.naver.com/comic/detail.series?productNo=4177441&sortOrder=DESC#priceInfo
폭군이 내 새끼가 되었습니다,naverseries,품과바람(고래문학),에너지스튜디오,순정,완결,4일,10,8.3,260,6화,"천 년 전 황후 한이말로 환생한 한예인,불우했던 그녀의 삶을 안타깝게 여긴 신이 자비를 내려준 것이라 생각했는데…""한이말, 네가 도망칠 곳은 없어 어서 죽어줘야겠어""그녀는 믿었던 황제에게 배신당한 걸로 모자라피도 눈물도 없는 폭군, 강지결의 손에 죽음을 맞이하게 된다그런데눈을 뜨니 이곳은 냉궁, 게다가 이번엔 어린아이가 되어버렸잖아?거울 속으로 보이는 앳된 얼굴과 작은 손에 당황하기도 잠시,주린 배를 채우려 궁 곳곳을 쏘다니던 그녀의 앞에 나타난 귀여운 꼬마어라? 잠깐만, 강지결이 왜 여기에 있어?""누나, 나 버리지 마요 네?""한이말은 귀요미가 되어버린 지결을 다정남으로 잘 키워낼 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=5290816&sortOrder=DESC#priceInfo
"용, 감한 연애",naverseries,요신,슝슝,순정,완결,월,1,8.4,48,3화,"창고를 정리하던 그녀의 눈에 할머니의 일기장이 들어왔다 일기장에는 영험한 힘을 가진 찻잎을 가져오던 ‘그분’에 관한 내용이 적혀있었다 이 아리송한 내용은 시아의 호기심을 자극했고, 그녀는 ‘그분’의 집에 대해 알아보기 시작한다 ‘폐인이 된 정신병자가 산다는 저택 마녀사냥을 당해 저택에 갇힌 불쌍한 남자’ 마침내 이 소문을 접한 그녀는, 수십 년간 닫혀있던 이묵의 저택을 찾아가기에 이른다접기",https://series.naver.com/comic/detail.series?productNo=10773323&sortOrder=DESC#priceInfo
환생하여 의사로 살아남기,naverseries,,이화월 X JSCR studio,소년,완결,1일,2,8.3,177,10화,"평생을 노력해도 무능하다고 평가받던 레지던트 의사, 지현석은 어느 날 차에 치여 사망하게 된다 하지만, 자신이 죽은 이유는 바로 인턴 사신의 실수로인한 죽음이였고 이에 지현석은 사신들을 협박해 환생을 하게 될 기회를 얻게 되는데 하지만, 이 환생에는 치명적인 문제가 있었다바로 자신의 목숨을 퀘스트로 벌어야 한다는 것만약, 실패하게 되면 자신의 영혼이 빼앗기는 건 물론다시는 환생할 수 없게 된다     무능한 레지던트 의사, 지현석의 인생 2회차 재도전기접기",https://series.naver.com/comic/detail.series?productNo=6714017&sortOrder=DESC#priceInfo
별안간 하녀,naverseries,소월,소월,순정,완결,1일,7,6.9,144,3화,실종된 오빠를 찾기 위해 단서를 찾던 유진은 영문도 모른 채 오빠가 그린 그림 속으로 빨려 들어가게 된다그런데응? 잠자고 있는 흡혈귀가?그림 속 세계에서 살아가기 위해 유진은 흡혈귀의 하녀가 되기로 하는데…접기,https://series.naver.com/comic/detail.series?productNo=6485238&sortOrder=DESC#priceInfo
악녀는 사실 킹메이커입니다,naverseries,,JIUJIU,순정,시즌 휴재,금,3,8.8,51,4화,"<킹메이커>에 오신 것을 환영합니다 황제로 추대할 NPC를 선택해주세요새로 나온 신작 게임을 하느라 길에 있던 멘홀을 보지 못하고 떨어져버린 주인공일어나고보니 게임 속에 영악하기로 소문난 악녀 공녀, 릴리 어거스틴이 되어있었다그의 눈에 보이는 이상한 시스템 창에는 테오도르 어거스틴을 구하라는 말이 써져있는데잠깐, 이 캐릭터는 분명 내가 선택한 NPC가 아닌데?접기",https://series.naver.com/comic/detail.series?productNo=8204421&sortOrder=DESC#priceInfo
달콤한 종속 : 뱀파이어와 키스를,naverseries,Ruis×Yikai,Ruis×Yikai,순정,완결,화,13,9.7,194,4화,"간이 뱀파이어에게 지배받는 세계부모님을 뱀파이어에게 잃은 소녀 릴리스는하나 뿐인 동생 모리스와 함께 이 세계에서 살아 나가기 위해뱀파이어들이 운영하는 학원, 센트럴 아카데미에 들어간다어느 날, 릴리스는 오만한 귀족 뱀파이어 로이가 흡혈하는 모습을 마주친다로이는 처음 보는 릴리스에게 이상하리만치 집착하며, 그녀를 어려운 상황으로 몰아넣는다하지만 극한의 상황에서도 인간으로서의 자존심을 지키며 자신을 경멸하는 릴리스의 모습에 로이는 자신도 모르게 점점 마음이 끌리는 것을 멈출 수 없다두 사람 사이에 놓인 수많은 장벽들종족, 신분, 가족, 놓여진 입장과 주변의 시선들이때로는 오해를, 때로는 갈등을, 때로는 상처를 불러오지만,그럼에도 알 수 없는 달콤한 감정이 두 사람을 옭아매는데…달콤한 사랑과 애틋한 마음이 두 사람의 입술 사이로 교차하는 피처럼 붉고 운명처럼 잔혹한 뱀파이어 판타지 로맨스[한글 로고 디자인] 송지혜접기",https://series.naver.com/comic/detail.series?productNo=5155060&sortOrder=DESC#priceInfo
요리GO,naverseries,HO9,HO9,드라마,완결,28일,175,9.8,192,33화,요리고등학교 졸업 후 산에서 수련을 마친 한별특급 호텔 레스토랑에 인턴으로 취업하게 되지만엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?접기,https://series.naver.com/comic/detail.series?productNo=3343448&sortOrder=DESC#priceInfo
"대표님, 사모님이 도망가요",naverseries,Anyouran,Hongshu,순정,완결,1일,16,7.9,289,21화,"""네가 잃은 모든 걸 되찾아 줄 수 있어 단, 한 가지 요구만 들어준다면…""결혼식 전날, 약혼자의 불륜을 목격한 것도 모자라 사랑하는 가족까지 잃게 된 노신아세상이 무너지는 것 같던 그때 그녀 앞에 나타난 권욱진모든 걸 잃어버린 그녀에게 나타난 이 남자, 과연 행운일까? 불행일까?접기",https://series.naver.com/comic/detail.series?productNo=5965125&sortOrder=DESC#priceInfo
늑대가 우는 약국,naverseries,김지숙,신록,순정,완결,월,2,9.9,77,3화,"우연히 하룻밤을 보낸 이 남자가전직 늑대귀 아이돌?""수도권 방 세 칸짜리 자가 아파트 + 외제차 + 연금과 저금으로 보장받는 노후""를 꿈꾸는 29세 약사 '한수지'는학창 시절 <루퍼스>라는 아이돌의 열성 팬이었다하지만 여러 가지 사건과 멤버 탈퇴로해체 수순을 밟게 되면서어린 마음에 큰 상처를 입었고,다시는 마음속의 뜨거운 꿈을 갖지 못할 줄 알았…는데?연예계 복귀를 준비하는 루퍼스 전 멤버이자 팀 해체의 원흉()'김범찬(aka 재키)'를 만나얼결에 하룻밤까지 보내게 되지만,그의 복귀를 도우며 든든한 친구가 되기로 한다그리고 전 멤버들로부터 듣게 된루퍼스에게 일어난 비운의 사건들까지…한숨 푹푹 한숨ㅈ… 아니 한수지 선생과배신자 재키, 김범찬의무사 기원 복귀 프로젝트접기",https://series.naver.com/comic/detail.series?productNo=10900183&sortOrder=DESC#priceInfo
어렴풋이,naverseries,,휘를,소년,완결,월,33,9.5,236,55화,"[가로실은 기억, 세로실은 시간]귀신을 보는 인간들의 학교, ‘우화원’에 귀신이 입학한다 완벽하게 인간흉내를 내며 들어온 그는 찾고 있는 것이 있다접기",https://series.naver.com/comic/detail.series?productNo=4998711&sortOrder=DESC#priceInfo
숨겨진 세계,naverseries,MISHA,MISHA,순정,완결,월,19,8.0,105,3화,"내가 알고 있던 나에 대한 모든 것이 진실이 아니라면?대학생 권미르에게는 아무에게도 말하지 못하는 비밀이 있다바로 알수없는 꿈을 꾸면 머리가 길게 자라나는 것남들과는 다르다는 비밀을 애써 부정한 채, 하루하루를 살아가던 미르는 어쩌다 윤지한의 결계(結界) 들어가고, 숨겨졌던 진짜 세계와 마주하게 된다 ""운명이라고? 그깟 운명 내가 얼마든지 바꿔주지""접기",https://series.naver.com/comic/detail.series?productNo=5511747&sortOrder=DESC#priceInfo
레이디 프로젝트,naverseries,홍 & 담,홍 & 담,순정,완결,월,14,9.6,103,10화,비밀을 가진 평범한 '메이드 룬룬'& 셀러브리티 '아가씨'가 떠나는 로맨스 가득한 신랑찾기 여행 미스테리한 신랑 후보들과의 만남 룬룬과 아가씨의 레이디 프로젝트가 시작된다,https://series.naver.com/comic/detail.series?productNo=4257735&sortOrder=DESC#priceInfo
최강마존 데릴사위,naverseries,조갱,간두혼E.F,무협,시즌 휴재,4일,8,8.0,101,5화,"최강마존의 아들, 황제의 데릴사위가 되다현재는 21세기 과학자이며, 전생엔 '헌원호'로 살았던 주인공은 전생의 원한을 풀기 위해 천서의 도움으로 첫 번째 생으로 돌아간다하지만 원래의 몸이 아닌 모두에게 쓰레기 취급 받는 약골 마존의 양자 '소강운'의 몸으로 돌아가게 되는데… 무예와 21세기의 과학 지식을 겸비하고 첫 번째 생으로 돌아온 헌원호는 약골 소강운의 몸으로 정파에 대한 복수를 다짐한다접기",https://series.naver.com/comic/detail.series?productNo=5556117&sortOrder=DESC#priceInfo
은산몽담,naverseries,Forget/Phxjoy,Forget/Phxjoy,순정,완결,월,381,9.3,133,6화,"[5000만부 판매 공주, 세기의 미남에 반하다]""결혼 조건? 다 필요없어, 잘생기면 돼""천방지축 공주는 우연히 마주친 평민 강이의 아름다운 외모에 첫눈에 반해버린다 천하고 말도 못하지만 오직 잘생김 하나로 공주의 마음을 훔친 강이 수많은 반대를 잘생긴 외모로 프리패쓰하며 결혼까지 하지만 강이는 공주에게 무심하기만 하다 공주는 과연 강이의 사랑을 얻을수 있을까? 말을 할수 없는 강이는 또 어떻게 자신의 마음을 표현할까? 비오는날 산속에서 전해들은 꿈같은 사랑 이야기접기",https://series.naver.com/comic/detail.series?productNo=3309404&sortOrder=DESC#priceInfo
사월이 다시 오면,naverseries,,에이프릴,순정,연재중,월,10,8.6,303,4화,"사랑하는 연인에게 배신당하고이복 동생에게 휘둘리기만 하던 그녀, 안사월죽을 때까지 멸시만 받던 그녀에게 새 삶이 주어졌다""나와 내 소중한 사람들을 아프게 했던 모든 이에게 복수하려면더욱 악독해져야만 해""그녀를 둘러싼 암투와 그림자처럼 뒤에서 그녀를 지키는 강운사월은 과연 복수에 성공하고 사랑하는 사람들을 지킬 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=5380880&sortOrder=DESC#priceInfo
여름 소나타,naverseries,홍태림,홍태림,순정,완결,금,3,9.1,45,3화,"""한눈에 알아볼 수 있을 거야 그 애가 어떤 모습을 하고 있더라도""대학교 4학년 연화는 첫사랑 선우를 가슴 속에 간직한 채 하루하루를 살아간다어느 날, 교통사고를 당한 연화 앞에 한건기업 부회장 트로이가 나타나고 그것을 시작으로 트로이는 연화의 주변을 맴돈다트로이의 싸늘함과 다정함, 순간순간 올라오는 선우 생각에 연화는 혼란스럽기만 하고, 트로이는 무언가 비밀을 안고 있는 듯하는데#뱀파이어 #판타지로맨스 #첫사랑 #능력남 #순정녀접기",https://series.naver.com/comic/detail.series?productNo=4667713&sortOrder=DESC#priceInfo
풀 인 러브(Pool in love),naverseries,백종인,백종인,순정,완결,금,4,9.3,47,3화,"매일매일이 고된 사회 초년생 진주,어느 날 거래처 풀 파티를 갔다가 수영장에 빠진다해산의 도움으로 정신을 되찾은 진주 앞에 펼쳐진 건육지에서 제일 먼 섬마을 선해도?일상이 힘들다고 이런 건 바라진 않았다고진주는 무사히 집으로 돌아갈 수 있을까?#로맨스판타지 #로맨스 #시간여행 #순정남 #상처녀접기",https://series.naver.com/comic/detail.series?productNo=5128043&sortOrder=DESC#priceInfo
원고를 주세요,naverseries,인디고,노아,순정,완결,금,104,9.5,30,3화,"신비주의 미녀 작가 다인의 열혈 팬인 신입 편집자 현수 출판사 입사 1년차에 그녀의 담당 편집자가 된다 하지만 기쁨도 잠시, 마감 당일이 되도록 다인은 감감무소식, 급기야 연락도 되질 않는데 이제 더 이상 시간이 없다 선생님… 제발 “원고를 주세요”",https://series.naver.com/comic/detail.series?productNo=3454065&sortOrder=DESC#priceInfo
너에게 Dream,naverseries,백종인,백종인,순정,완결,월,1138,9.7,62,4화,"루시드 드리머 윤다미와동생이 꿈속에 갇힌 서하준하준은 다미에게 동생을 도와달라고 부탁하고,하준을 짝사랑하던 다미는 꿈속에 들어가수상한 광경을 목격한다두 사람은 앞으로 어떤 꿈을 보게 될까?루시드 드림 속에서 펼쳐지는 꿈같은 로맨스접기",https://series.naver.com/comic/detail.series?productNo=2935517&sortOrder=DESC#priceInfo
바이러스X,naverseries,준,하랑,드라마,완결,35일,22,8.0,31,8화,사망률 100% 이것은 시작에 불과하다 인류는 지금 <바이러스X>와 대립 중이다,https://series.naver.com/comic/detail.series?productNo=5556557&sortOrder=DESC#priceInfo
진의불명,naverseries,마대,검둥,드라마,완결,월,1,9.8,45,2화,"[처음엔 몰랐다 내가 그린 그림을 어떻게 일일이 기억할 수 있겠어?]그 다음엔 우연이라 여겼다 그런 스타일이야 꽤 흔하기도 하고 내 특허도 아니고그 후로는 조금 긴장이 되었다 내 그림이 불펌으로 퍼지기라도 했나? 내 팔로워인가? 스타일이 좋아서 참고하는 건가?마지막으로는 초조했다 내가 직접 그린 패턴이 새겨진 티셔츠를 보면서 ‘저런 패턴이 있었는데 내가 모르고 같게 그린 건가? 아니면 내 그림이 도용당한 건가?’ 싶어서결국 직접 물어보았다 “이거요? 딱히 어디서 산 건 아니고”그리고, “제가 직접 주문제작했어요 어때요? 어울려요?” 라며 그 애는 나에게 되물었다내가 그린 스타일과 같은 옷을 입고, 내가 그린 패턴이 강조된 아이템을 강조하며 악세사리가 잘 보이도록 스타일링도 하고 포즈도 취하면서“언니한테 잘 어울린다는 말 듣고 싶었어요”내 두 눈을 똑바로 쳐다보면서접기",https://series.naver.com/comic/detail.series?productNo=6462886&sortOrder=DESC#priceInfo
한강예찬,naverseries,김8,김8,드라마,완결,28일,34,9.9,41,6화,"겉보기엔 좋아보이지만 속은 썩었어 가식에 지친 현대인의 현타 도미노고교동창생 한세련/강아영/예은지/차안나의 관계, 그리고 이야기",https://series.naver.com/comic/detail.series?productNo=5192277&sortOrder=DESC#priceInfo
사장님을 잠금해제,naverseries,박성현,박성현,드라마,완결,42일,44,9.7,56,9화,"얼떨결에 죽어 스마트폰이 된 39살 대기업 천재 CEO 선주,얼떨결에 그 스마트폰을 주운 29살 취준생 인성,아홉수 두 사람이 힘을 합쳐 살인범을 찾는다접기",https://series.naver.com/comic/detail.series?productNo=4988175&sortOrder=DESC#priceInfo
이것도 친구라고,naverseries,제야,제야,드라마,완결,일,480,9.9,175,16화,내 평범한 일상을 조여오는 시한폭탄 같은 녀석들이 찾아왔다 파란만장한 청춘 라이프,https://series.naver.com/comic/detail.series?productNo=2890366&sortOrder=DESC#priceInfo
서브 콤플렉스,naverseries,소이,소이,순정,완결,35일,65,9.2,47,8화,서브 병에 걸려 메인 남주보다 서브를 안쓰러워하며 사랑하는 연이최근 빠진 순정만화에서 서브 남주 반하나가 죽는 걸 보고 울다 지쳐 잠이 들었는데 눈을 떠보니 만화 속 여주가 되었다남주인 서늘을 제쳐두고 서브 남주에게 적극적인 구애를 하는 연이그런데 점점 서늘이 안쓰럽게 느껴지는 건 서브 병 탓일까?접기,https://series.naver.com/comic/detail.series?productNo=5139938&sortOrder=DESC#priceInfo
일진이 사나워,naverseries,강환영,김현아,순정,완결,28일,509,9.9,101,8화,갑작스러운 고백으로 만난 나와 정반대인 남자친구 우리 왜 사귀는거지?,https://series.naver.com/comic/detail.series?productNo=3876420&sortOrder=DESC#priceInfo
노력의 결과,naverseries,악파,악파,드라마,완결,42일,121,9.8,32,7화,"완벽주의 아버지 밑에서 자란 재경, 이번 시험에서도 전교 1등을 사수해야 한다",https://series.naver.com/comic/detail.series?productNo=4967710&sortOrder=DESC#priceInfo
야자괴담,naverseries,이도광,이도광,드라마,완결,28일,36,8.8,26,6화,"어느 날 듣게 된 우리 학교의 야자 괴담 그날 밤, 괴담이 현실이 되어 나를 찾아왔다",https://series.naver.com/comic/detail.series?productNo=4983490&sortOrder=DESC#priceInfo
청년시장,naverseries,손규호,카리보,드라마,완결,금,2,10.0,158,5화,29살까지 취업하지 못한 자들이 모두 ‘청년시장’으로 끌려 간다면?  세상에서 가장 위험한 이야기가 시작된다,https://series.naver.com/comic/detail.series?productNo=9647296&sortOrder=DESC#priceInfo
니편내편,naverseries,미티,미티,소년,완결,일,370,9.4,146,7화,외로운 인생사진만 찍으면 누구든 내 편이 된다?,https://series.naver.com/comic/detail.series?productNo=3159610&sortOrder=DESC#priceInfo
링크보이,naverseries,광진,두엽,소년,완결,28일,125,9.6,120,8화,약육강식의 무법도시잘못된 이 도시를 바로잡는다,https://series.naver.com/comic/detail.series?productNo=3636779&sortOrder=DESC#priceInfo
위대한 방옥숙,naverseries,매미,희세,드라마,완결,28일,77,9.6,74,19화,"한강 조망권 지키려다가 한강에 시체를 유기한 여자들의 이야기""내 집값은 내가 지킨다""",https://series.naver.com/comic/detail.series?productNo=4152645&sortOrder=DESC#priceInfo
귀전구담,naverseries,LICO,LICO,드라마,완결,28일,101,9.8,92,9화,사람들은 모여 무서운 이야기라며 귀신이야기를 한다귀신들은 모여 귀신보다 더 무섭고 섬뜩한 사람들의 이야기를 한다,https://series.naver.com/comic/detail.series?productNo=4400461&sortOrder=DESC#priceInfo
악취,naverseries,디귿,디귿,드라마,완결,일,117,9.8,50,8화,"며칠 전부터 아랫집에서 썩은 내가 나기 시작했다 냄새가 나고 얼마 뒤, 친구가 사라졌다 그리고 아랫집 누나까지 그 다음은? 사라진 사람들, 그리고 그들을 찾는 사람들의 이야기접기",https://series.naver.com/comic/detail.series?productNo=4273318&sortOrder=DESC#priceInfo
무뚝뚝한 그가 야근하는 이유,naverseries,Sakai Shio,Chika Akabane,순정,완결,월,9,8.7,68,4화,광고대리점에서 일하는 카미사카 리사 사내에서 혼자 무거운 짐을 옮기다 계단에서 미끄러진다 넘어지는 리사를 붙잡아 준 것은 동기인 마루야마 무표정에 말수가 적은 탓에 아쉬운 훈남이라는 칭호를 얻은 그는 예상과 달리 상냥한 면이 있었다 게다가 리사가 잔업을 하고 있으면 어째서인지 그의 모습도 보이는데─ ⓒChika Akabane/Sakai Shio/STARTS PUBLISHING CORPORATION,https://series.naver.com/comic/detail.series?productNo=4392281&sortOrder=DESC#priceInfo
블루투스,naverseries,국승원,국승원,드라마,완결,6일,8,6.8,60,7화,탐사선의 폭발우주 한가운데 홀로 남겨진 우주 비행사,https://series.naver.com/comic/detail.series?productNo=4678395&sortOrder=DESC#priceInfo
인간의 온도,naverseries,이재익,양세준,드라마,완결,42일,20,9.5,77,8화,형사와 기자 그리고 이상한 소년일어나선 안 될 사건들,https://series.naver.com/comic/detail.series?productNo=4475413&sortOrder=DESC#priceInfo
하슬라,naverseries,까를로스,유상진,드라마,완결,일,22,9.2,99,7화,일곱 번 타인의 삶을 구하면 한 번의 살인이 무죄가 되는 도시 하슬라처절한 복수를 꿈꾸는 도진 '피의 도시' 하슬라에서 사마리안이 되다,https://series.naver.com/comic/detail.series?productNo=4283337&sortOrder=DESC#priceInfo
신을 죽이는 방법,naverseries,나락,바밤,소년,완결,일,208,9.9,89,6화,"믿음이 사라진 시대, 마지막 신화",https://series.naver.com/comic/detail.series?productNo=3664079&sortOrder=DESC#priceInfo
교환일기,naverseries,한끼룩,한끼룩,드라마,완결,28일,130,9.9,73,8화,"인싸로 살아가던 여대생 한나무, 생일파티에 가던 길에 교통사고를 당하고왕따 여중생이 되어 깨어나다접기",https://series.naver.com/comic/detail.series?productNo=4279044&sortOrder=DESC#priceInfo
정열맨 시즌3,naverseries,귀귀,귀귀,소년,완결,월,184,9.7,60,10화,**매주 월요일 연재** 현무: 얼어붙은 세계현무신공과 숨은 무공 고수들의 등장이에 맞서 분투하는 김정열과 그의 동료들더 큰 재미로 돌아온 정열맨 시즌3접기,https://series.naver.com/comic/detail.series?productNo=4045094&sortOrder=DESC#priceInfo
모퉁이 뜨개방,naverseries,소영,소영,드라마,완결,42일,258,10.0,47,4화,회색빛 일상에 지쳐있던 현이어느 날 만나게 된 모퉁이 뜨개방에서 자신의 상처를 마주하며 치유해간다,https://series.naver.com/comic/detail.series?productNo=4121179&sortOrder=DESC#priceInfo
요괴대전,naverseries,강두식,장부규,소년,완결,42일,20,9.7,72,전화,"어느 날 강시가 되어버린 소년 필립 ""난 더 이상 인간이 아닌건가요?"" ",https://series.naver.com/comic/detail.series?productNo=4066832&sortOrder=DESC#priceInfo
롤랑롤랑,naverseries,자유,자유,드라마,완결,수,188,9.9,152,9화,코기 왕자 롤랑과 마녀 루이사의 모험 이야기 베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데,https://series.naver.com/comic/detail.series?productNo=3712502&sortOrder=DESC#priceInfo
"달의 아이, 항아",naverseries,로지야,로지야,순정,완결,월,1,8.8,74,3화,"항아달의 화신건국 때부터 해국을 수호해온 존재로서,그분의 가호로 해국은 천년의 번영을 누릴 수 있었다하지만,천년을 끝으로 가호는 사라지고기다렸다는 듯 온갖 재앙들이해국을 덮쳐왔다많은 백성들이 죽어가던 그때,'항아의 재림'으로 여겨지는 소녀가나타났다그녀가 나타나자믿을 수 없게도 재앙은 거짓말처럼 사라졌다고 한다""그 항아는 달빛처럼 아름다운 머리카락을 가졌다고 하지바로… 그대처럼""'내가… 항아라고? 믿을 수 없어…'접기",https://series.naver.com/comic/detail.series?productNo=10441669&sortOrder=DESC#priceInfo
귀인,naverseries,정연식,황진영,드라마,완결,월,34,8.7,49,7화,"흙수저 청년, 진짜 귀인이 되다점입가경 팩션 사기극",https://series.naver.com/comic/detail.series?productNo=4047935&sortOrder=DESC#priceInfo
부로콜리왕자,naverseries,산삼,산삼,소년,완결,21일,113,9.9,85,9화,숨겨진 셋째 왕자가 있다는데?,https://series.naver.com/comic/detail.series?productNo=3411810&sortOrder=DESC#priceInfo
그랜드 배틀 토너먼트,naverseries,강냉이,강냉이,소년,완결,수,20,4.9,78,10화,지상 최강을 꿈꾸는 자들의 축제가 시작된다,https://series.naver.com/comic/detail.series?productNo=3521146&sortOrder=DESC#priceInfo
27-10,naverseries,AJS,AJS,드라마,완결,월,10,10.0,30,3화,"‘그때의 그녀는 자신을 보호하는 일에도 용기가 필요하다는 걸 몰랐다’초등학교 3학년, 10살 때부터 가정 내 성폭력을 겪은 ‘그녀’는 27살이 되던 해 처음으로 심리상담을 받으며 처음으로 과거의 상처를 똑바로 마주하게 되고, 긴 시간의 고통을 마무리 짓고자 담담하게 자신의 이야기를 정리하기 시작한다접기",https://series.naver.com/comic/detail.series?productNo=9176971&sortOrder=DESC#priceInfo
둥굴레차!,naverseries,기라3,기라3,소년,시즌 휴재,8일,321,10.0,117,전화,"청룡, 주작, 백호, 현무 사신의 증표를 가지고 태어난 네 무술소년들의 수련기",https://series.naver.com/comic/detail.series?productNo=3794798&sortOrder=DESC#priceInfo
