이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
마성의 신입사원,naverseries,주연,주연,순정,완결,일,좋아요,9.8,81,5화,"중소 화장품 기업 '랑데부'의 평범한 사원 남지은마케팅 팀장의 송별회 날 잔뜩 술에취해 용기내어 평소 짝사랑하던 강팀장에게 취중 고백을 날리는데,""남지은씨, 단도직입적으로 물어보죠 나 좋아해요?""""그게…… 입술이…… 매력적이십니다""내가 고백한 상대가""욕구 불만 해결되고 있습니까""짝사랑 상대 강민재팀장이 아니라 출중한 외모와는 정반대의 성격으로 기피 대상 1호인…우리 회사의 대표, 독거마성 마성준이라고?원작 - 언정이접기",https://series.naver.com/comic/detail.series?productNo=10426228&sortOrder=DESC#priceInfo
화화원행기,naverseries,최수정,최수정,순정,연재중,10일,18,9.8,142,3화,"부업으로 틈틈이 돈을 벌어오던 이매 수렵사, 류가화는 사규에 어긋난부업으로 수렵사 협회 ‘불가살이’에서 쫓겨나게 된다한편, 출중한 실력에도 불구하고 출세길에서 물러난 중랑장, 강이소는 황제의부마 후보인 송비연을 도성으로 안전히 호위해오는 임무를 맡게 된다그리고 류가화는 우연한 만남으로 강이소가 이끄는 원행단에 합류하게 되는데―“한 달이면 끝난다지 않았소?”<매의 검> 최수정 작가가 선보이는 압도적인 순정 무협지금 당신을 사로잡는다―접기",https://series.naver.com/comic/detail.series?productNo=5147461&sortOrder=DESC#priceInfo
일진에게 찍혔을 때,naverseries,망가,체댜,순정,완결,일,좋아요,9.8,122,3화,"어느날 갑자기 시작된 중학교시절 남사친의 까톡테러에 시달리던 평범한 여고생 김연두, 까톡테러를 막기위해 남친짤로 프로필사진을 바꾸었는데 알고 보니 그 사진이 우리 학교에서 제일 무서운 일진 지현호라고?알고 보면 츤데레 지현호, 뇌섹남 반장 서주호, 윗층에 사는 연하남 강아훈 거기에 마이웨이 야구소년 최승현, 천진발랄한 정지성까지어쩌다 잘생긴 일진들에게 둘러쌓인 내 인생은 어떻게 되는걸까?원작 - Day7 <일진에게 찍혔을 때>투자 - 유니온투자파트너스㈜접기",https://series.naver.com/comic/detail.series?productNo=10426539&sortOrder=DESC#priceInfo
미연시는 1회차로 족하다,naverseries,하루한숨,미챠,순정,시즌 휴재,목,좋아요,10.0,51,4화,"어느 날 연애 시뮬레이션 게임 여주인공, 데보라가 되었다해피 엔딩을 보면 원래 세계로 돌려보내 준다길래좋아하지도 않는 남주들 비위를 맞춰 겨우 고백을 받았건만……[Normal Ending 달성]'뭐? 노말 엔딩? 여성향 게임의 해피 엔딩은 남주와 잘되는 거 아니었어?'해피 엔딩에 실패해 다시 시작된 2회 차 플레이'아, 몰라 다 꺼지라고 해 남주고 나발이고 내가 행복해야지'1회 차와는 달리 하고 싶은 대로 하고 살려고 했는데…남주들이 어딘가 이상하다?""널 또 잃는 줄 알았다""""생각해 보면 영애께서는 처음부터 저를 꺼리셨죠 왜일까요?""과연 데보라는 무사히 해피 엔딩을 보고원래 세계로 돌아갈 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10313914&sortOrder=DESC#priceInfo
향기로운 회사생활,naverseries,ETE,링아,순정,완결,토,2,9.2,41,4화,남들과는 조금 다른 후각을 가진 인아는 남자에게 나는 불쾌한 냄새때문에 모태솔로이다이러다 평생 솔로로 늙는건 아닌지 걱정하는 그런 그녀곁에 드디어 달콤한 냄새를 풍기는 남자가 스치는데?과연 이남자를 한입만 먹어볼수 있을까~?접기,https://series.naver.com/comic/detail.series?productNo=6411455&sortOrder=DESC#priceInfo
오늘의 포도알,naverseries,푸릭,푸릭,드라마,완결,금,좋아요,8.9,89,5화,"농촌에서 살아남아라 19세기 유럽풍 농촌 시트콤수도 그램에서 유명 연기자의 삶을 살던 주인공 ""프랑""공연 도중, 의문의 팬클럽에 의해 외딴 마을 캐피셔로 납치되어 오게 된다프랑은 과연 좌충우돌 마을 사람들에게서 벗어날 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=6179159&sortOrder=DESC#priceInfo
나만 보여!,naverseries,LICO,LICO,소년,완결,28일,46,8.8,55,8화,"교내 익명 어플 ‘몰래몰래’에는 여러 가지 비밀들이 매일 익명으로 올라온다10년째 소꿉친구인 '하영'을 짝사랑 중인 '민준'은 '몰래몰래' 다운로드 중 생긴 오류로 인해 익명 게시글들이 모두 실명으로 보이게 되고, '하영'의 남자친구인 '기주'가 바람피우고 있다는 충격적인 사실을 알게 되는데",https://series.naver.com/comic/detail.series?productNo=5797359&sortOrder=DESC#priceInfo
상태창 쓰는 광제님,naverseries,물 없는 수박,만소문화,무협,시즌 휴재,4일,4,7.2,80,6화,"현실 생활에 희망을 잃은 양현우는 사망 후 새로운 세계로 오게 된다 새로운 세계에서 그의 신분은 대하국의 망나니 태자, 나라 망신을 시켜 황제를 화병으로 붕어하게 했고 황위를 노리는 둘째 황자에게 독살당한 한심한 인간이었다 이 세계로 온 뒤 그에게는 게임 시스템이 주어졌는데, 시스템이 주는 퀘스트를 완성하면 강해지고 보상을 받을 수 있었다 그는 시스템으로 새로운 세상에서 찌질했던 과거의 자신을 버리고 새로운 인생을 살기로 하고 새로운 세계의 최강자를 꿈꾸는데과연 그는 퀘스트를 완성하고 최강자로 거듭날 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=6450613&sortOrder=DESC#priceInfo
시월드 판타지,naverseries,진돌,히디,드라마,완결,42일,47,9.9,99,8화,출세가도의 길을 걷던 용사 조라세 신원미상의 초절정 꽃미남과의 결혼이 찾아왔다그런데시어머니가 대마왕? ㄴ(°0°)ㄱ접기,https://series.naver.com/comic/detail.series?productNo=5434757&sortOrder=DESC#priceInfo
레이디 투 퀸,naverseries,무소,김소현,순정,완결,일,84,8.9,108,2화,"[나라면 황제를 사랑하지 않을 자신이 있어]동화와 같은 운명적인 사랑을 꿈꾸며 황후가 된 언니는 폐후가 되어 돌아왔다 그로 인해 몰살당하게 되는 그로체스터 일가 그러나 기적적으로 열 아홉살, 언니가 황후로 선발되기 전으로 돌아왔다 이번 생은 해피엔딩을 기대해도 좋을 거야, 언니 나라면 내가 황후가 된다면 황제를 절대 사랑하지 않을 자신이 있으니까접기",https://series.naver.com/comic/detail.series?productNo=8033671&sortOrder=DESC#priceInfo
불사신왕무쌍기,naverseries,two cats,two cats,무협,완결,월,4,9.6,126,5화,"심장병으로 몸이 약했던 진현 어느 날 우연히 고양이로 인해 '불사신석'의 주인이 되고, 그로 인해 불사신의 몸으로 변하게 된다 강철같은 피부와 죽지 않는 몸, 갖은 무공 스킬들, 정말 무적이나 다름없는 존재가 되었으나, 큰 힘을 가지며 그만큼 이를 빼앗으려는 이들도 등장하는 법불사신석을 노리는 무리들 덕에 하루도 몸이 남아나질 않는다엎친 데 덮친 격으로 '천겁'이라는 세계멸망을 막아야 하는 사명까지 주어지게 된 몸진현은 과연 불사신석을 무사히 지켜내고, 세계멸망을 막아낼 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=5694977&sortOrder=DESC#priceInfo
별안간 아씨,naverseries,서자영,아이링,순정,완결,금,10,9.6,50,3화,"걸크러쉬 노비 덕이의 신분상승 프로젝트노비의 삶을 자식에게까지 물려주고 싶지 않다혼인을 할 바에는 차라리 죽음을 택하겠다는 덕이""그렇다면 너를 정경부인으로 만들어주마""덕이는 자신이 모시는 도련님, '형수' 로부터다소 황당한 제안을 받게 되는데'더 이상 노비로 살지 않아도 된다고? 내 자식들도 노비가 아닌 양반의 신분을 가지게 된다고?'하지만 그러기 위해서는 우선 요조숙녀가 되어야만 한다접기",https://series.naver.com/comic/detail.series?productNo=5588220&sortOrder=DESC#priceInfo
