이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
그때 우리가 조아한,kakaowebtoon,YOON,움비,판타지 드라마,연재,토,"4,837.9만",128만,96,70,3시간마다 무료,"소설가이자 출판사 CEO 최아란은 자신이 20년 전,상고짱과 평범한 여고생의 사랑을 다룬 소설로 대히트한인소작가 조아한이라는 치부를 숨긴 채 출판사를 운영하고 있다어느 날 아란은 파혼 사실을 알리기 위해어릴 때 살았던 부모님 댁을 찾았다가 정신을 잃으며인터넷 소설의 세계인 ‘천양시’로 빨려 들어간다천양시는 현실과 전혀 다르다이혼했던 부모님이 다정하게 아란을 깨우고,말풍선 안에는 감정을 표현하는 이모티콘이 떠 있다맞춤법은 엉망 클리셰 범벅아란은 얼떨결에 학교에 가면서 이곳이 인터넷 소설의 법칙이끊임없이 일어나는 소설 속 세계라는 것을 눈치챈다내가 만든 세상이니 탈출할 수 있어탈출법을 모색하던 도중 친구 소영과 함께 시내에 가게 되고,오락실에서 상고 사천왕을 보게 된다아란은 계단에서 떨어지며상고짱 강휘영 위로 넘어지게 되는데‘아, 안 돼 여기서 넘어지면 떨어지는 자세와 상관없이높은 확률로 상고 짱과 뽀뽀하게 되어버려’","공감되는,설레는,판타지드라마,성장물",https://webtoon.kakao.com/content/%EA%B7%B8%EB%95%8C-%EC%9A%B0%EB%A6%AC%EA%B0%80-%EC%A1%B0%EC%95%84%ED%95%9C/2690
"이봐요, 아기 공작님 누나만 믿어!",kakaowebtoon,문시현,허둥•지둥,로맨스 판타지,완결,3시간마다 무료,595.6만,30.9만,92,65,3시간마다 무료,"에스핀은 천재적인 검술 재능만 믿고,최고의 기사가 되려 했으나 실패했다제국 1위 기사 세녹 블랙나이트 공작 때문이었다그가 너무 미웠다 원수나 다름없었다""제가 이겼습니다""마침내 그를 이기고야 말았지만,기사단을 나와 마차에 치이려던 토끼를 구한 게마지막 기억이었다이대로 죽는구나 싶었는데 되살아났다?그것도 전혀 다른 몸으로, 18년 전 제국에서 눈을 뜨고 말았다그녀를 살린 범인은 바로 다른 세계의 신수""그러니까, 너 같은 신수를 모으면 원래 시간대로 돌려보내 준다고?""-그렇도다신수를 돕기만 하면 원래 시간으로 돌아가새 삶을 살 수 있다살아난 대신 여태 누리지 못한많은 것을 누리고 살아야겠다 싶었는데""흡, 무, 무서워……""18년 전, 세녹이 울먹이며 그녀에게 안겨든다?""나랑 결혼해준다고 했잖아 왜, 도망가는 거야?""졸지에 시간 여행자가 된 에스핀은과연 업무를 완수하고 돌아갈 수 있을까?","귀여운,역동적인,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%9D%B4%EB%B4%90%EC%9A%94-%EC%95%84%EA%B8%B0-%EA%B3%B5%EC%9E%91%EB%8B%98-%EB%88%84%EB%82%98%EB%A7%8C-%EB%AF%BF%EC%96%B4/2878
"악당 남편과 이혼하려는데, 아이가 생겼다",kakaowebtoon,윤동백,렘티,로맨스 판타지,연재,토,590.9만,20.3만,106,3,3시간마다 무료,"19금 피폐 로판 소설의 악당 남주의 어머니인, 악녀 엘리사 루벨린으로 빙의한 서유나 원작에서는 남편인 리하르트에게 집착하다 결국 그의 손에 살해당하지만 그렇게 죽고싶지않았던 엘리사는 자신의 운명을 바꾸려 한다 자신에게 집착이 아닌 상냥함으로 대하는 엘리사에게 점점 마음을 열고, 엘리사를 사랑하게 되는 리하르트와 성인이 되고 이혼을 준비하는 엘리사 사이에서 아이가 생기게 된다 ","궁금하게하는,몰입되는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%95%85%EB%8B%B9-%EB%82%A8%ED%8E%B8%EA%B3%BC-%EC%9D%B4%ED%98%BC%ED%95%98%EB%A0%A4%EB%8A%94%EB%8D%B0-%EC%95%84%EC%9D%B4%EA%B0%80-%EC%83%9D%EA%B2%BC%EB%8B%A4/3437
여자인 걸 왜 모르지,kakaowebtoon,원펀치래빗,원펀치래빗,로맨스,연재,토,351.7만,11.7만,82,3,1일마다 무료,"어지간한 남성보다 우월한 힘과 전투 기술로 살아 있는 인간병기라 불리는 특수부대 출신 ‘강재희’ 지금은 전역 후 대한민국의 경찰이 되었다 대한민국의 정의 구현을 위해 오늘도 열일하던 재희에게 어느 날 막대한 임무가 주어진다 그것은 다름 아닌 대한민국 굴지의 기업 삼강그룹의 재벌 2세이자,여비서 살인사건의 용의자인 ‘윤이준’ 이사의 수행비서가 돼 그의 죄를 밝히는 것하지만 상또라이 중의 상또라이 윤이준의 수행비서 역할은재희에게 전쟁, 호환, 마마보다 더 무서운 것이었다게다가… “김 비서, 이런 말 황송하게 들리겠지만 내가 김 비서를 좋아하게 됐어” 급고백까지?“저기… 근데… 전, 지금 남자이지 말입니다…????”이해불가 재수탱이 사차원남과 걸크러쉬 철벽녀의 상상불가 로맨틱 코미디","웃기는,몰입되는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%97%AC%EC%9E%90%EC%9D%B8-%EA%B1%B8-%EC%99%9C-%EB%AA%A8%EB%A5%B4%EC%A7%80/3185
권력학생,kakaowebtoon,삼중,삼중,학원/판타지,연재,토,52.5만,2.4만,74,75,연재 무료,"제왕고등학교의 학생들은 서로 몰려다니며 세력을 구축하고 있다세력이 커질수록 그들의 대표는 강력한 권력을 가질 수 있기 때문에대표들은 권력을 사용해 세력전을 치러 자신의 세력을 모은다'홍익'은 어느 세력에도 속하지 못한 외톨이다교실에서 친구들과 어울리지 못하고 겉돌고 있지만왕따로 낙인찍히지 않기 위해 나름대로의 노력은 하고 있다그런데 어느 날 홍익은 특유의 소극적인 태도 때문에상황이 커져 일진과의 세력전에 휘말리게 된다우연히 일어난 세력전에서 홍익은 잠재된 권력을 발현하게 되고,일진들에게 자신의 힘을 보이며 세력전에서 승리한다하지만 많은 이들이 여전히 홍익을 무시하거나 미지의 힘에 대한 불신 때문에그 누구도 홍익에게 선뜻 다가가지 않는다그런 홍익의 곁에 '이채린'이 다가와 호감을 보이며함께 세력을 모아보지 않겠냐고 제안한다동시에 학생회에서도 홍익을 주목하기 시작하는데천생 아싸의 학원 액션 능배물","웃기는,통쾌한,학원/판타지,배틀물",https://webtoon.kakao.com/content/%EA%B6%8C%EB%A0%A5%ED%95%99%EC%83%9D/3265
"나를 선택해, 플로라",kakaowebtoon,해돌,해돌,로맨스 판타지,연재,토,20만,"8,550",50,51,연재 무료,"한날한시에, 태어날 수 없는 세 아이가 태어날 것이다그중 한 아이가 모두의 운명을 쥐고 있으니,아이의 선택에 따라 한 가문은 절멸하고 아이는 아이의 모습으로 죽으리라나 테오데릭이 내 모두를 걸고 저주한다’ 저주처럼 한날한시,미카엘, 에즈라, 그리고 플로라가 태어난다 세 사람은 정해진 운명처럼 결국 마주하게 되고,플로라는 둘 중 한 명을 선택해야 하는데…","몰입되는,궁금하게하는,로맨스판타지,치정물",https://webtoon.kakao.com/content/%EB%82%98%EB%A5%BC-%EC%84%A0%ED%83%9D%ED%95%B4-%ED%94%8C%EB%A1%9C%EB%9D%BC/3976
정령왕 엘퀴네스,kakaowebtoon,냐르,냐르,판타지 드라마,연재,토,734.5만,35.1만,288,28,3시간마다 무료,우연히 교통사고로 사망한 평범하기 짝이 없던 고등학생 강지훈은명계에서 자신이‘인간으로 잘못 태어난 물의 정령왕’이라는 사실을 알게 된다  “물의 정령을 만들라니? 어떻게 하는 건데?”  인간으로 잘못 태어났던 물의 정령왕 엘퀴네스의 좌충우돌 모험기,"발랄한,귀여운,판타지드라마,환생물",https://webtoon.kakao.com/content/%EC%A0%95%EB%A0%B9%EC%99%95-%EC%97%98%ED%80%B4%EB%84%A4%EC%8A%A4/2309
허약선생,kakaowebtoon,철범,울펜,액션/무협,연재,토,"3,899.5만",64.2만,137,88,3시간마다 무료,"[ 흑화대는 해체할 것이니 선생이 되어라 ]마교와의 종전 후,무림맹의 암부 조직 '흑화대'와그들을 이끄는 흑화대 총대장 '귀면독'귀면독은 이제 백무관의 선생이 되어아이들을 가르치게 된다남궁세가의 수치라 불리는 다섯째 남궁매아버지의 명으로 백무관 뱀단에입학하여 귀면독의 제자가 된다그리고 끝난 줄 알았던 마교전쟁은갑자기 나타난 특별한 영약으로 인해불이 붙고 무림은 다시 혼란에 빠지는데과연 귀면독과 제자들은 평화를 지켜내고남궁매는 세가의 수치라는 오명을 씻어진정한 고수로 거듭날 수 있을 것인가?","웃기는,역동적인,액션/무협,성장물",https://webtoon.kakao.com/content/%ED%97%88%EC%95%BD%EC%84%A0%EC%83%9D/2080
세계관 최강자들이 내게 집착한다,kakaowebtoon,ZION,ZION,로맨스 판타지,연재,토,551만,30.3만,115,3,1일마다 무료,"간식으로 나온 빵을 오물거리던 열 세살의 어느날, 달리아 페스테로즈는 문득 자신의 전생을 기억해낸다 이곳은 주인공들이 미쳐가는 피폐 여성향 게임 속 세상이고, 자신은 장차 최고 악당의 여동생으로 태어났다는 것을 이대로라면 답도 없다 가문은 멸문할거고, 나도 덤으로 쓱싹 되겠지 그러니 무조건, 가능한 한 빨리 이 가문에서 달아나야 한다 '이렇게 된 이상 경계심을 낮춰 도망쳐야겠어' 그렇게 가문을 노리는 친척과 능구렁이 같은 황제 등등을 걷어내고 오빠의 환심을 듬뿍 산 것까지는 좋았는데- ""내가 달리아와 춤을 추고 싶은데 뭐가 문제지?""""미안하지만, 내 동생이 낯을 가려서""""달리아는 제가 제일 좋다고 했어요"" 어쩐지, 오빠를 너무 길들인 것도 모자라 이 세계 최강자들이 모두 나에게 집착한다","귀여운,설레는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%84%B8%EA%B3%84%EA%B4%80-%EC%B5%9C%EA%B0%95%EC%9E%90%EB%93%A4%EC%9D%B4-%EB%82%B4%EA%B2%8C-%EC%A7%91%EC%B0%A9%ED%95%9C%EB%8B%A4/3261
도사 아카데미 무위관,kakaowebtoon,키드원,찌마,판타지 드라마,연재,토,22.5만,"8,815",33,34,연재 무료,"영국에 마법사 학교 호그와트가 있다면 대한민국에는 도사 아카데미 무위관이 있다  반강제로 무위관에 입학하게 된 평범한 여고생 정태미 입시생으로서의 일상도, 도사가 되기 위한 수행도 포기할 수 없는 욕심쟁이 그녀의  좌충우돌 성장기가 시작된다   딱히 지구를 지키겠다는 거창한 사명이 있는 것도 아니고  도술을 배워 도사가 되고 싶은 것도 아니지만   조금 더 경험해보는 것도 좋겠지  무위관이 보여줄 세계도, 이곳에서의 인연도  일단은 킵 고잉","발랄한,환상적인,판타지드라마,레벨업물",https://webtoon.kakao.com/content/%EB%8F%84%EC%82%AC-%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8-%EB%AC%B4%EC%9C%84%EA%B4%80/3850
나 홀로 로그인,kakaowebtoon,"키키, 윤재호",Rose Studio,학원/판타지,시즌완결,토,577.8만,14.7만,201,4,3시간마다 무료,"태어날 때 부터, 남들과 다른 압도적인 물리력을 타고난 정시우 어느 날, 지구의 상공에 나타난 하늘성과 그에 맞춰 등장하는 날개 달린 영웅인 일명 '플레이어'들 정시우는 당연히 자신도 플레이어가 되리라 예상했지만 10년이 지나도 플레이어로 각성하지 못한 채, 백수가 되어버린다 그러던 어느날, 하늘성에서 리타이어한 플레이어 '수아린'을 우연히 구하게 되고숨겨진 '지하던전'을 발견해 '지하 플레이어' 로 각성하는 정시우 압도적인 무력으로 지하던전들을 파괴하며 세계의 비밀을 향해 나아간다 모든것을 파괴하는 압도적인 영웅이 등장","통쾌한,역동적인,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EB%82%98-%ED%99%80%EB%A1%9C-%EB%A1%9C%EA%B7%B8%EC%9D%B8/2366
여왕님 안돼요!,kakaowebtoon,모카번,태이,로맨스 판타지,완결,3시간마다 무료,79.9만,3.9만,99,4,3시간마다 무료,"바벨 역사상 가장 강력한 군주,전쟁의 신, 신의 딸이라 일컬어지는아로아 펜릴 아스트로포투스7년간의 전쟁을 마치고 왕국을 제국으로 만들기틀을 닦아놓고 화려하게 귀환했건만,귀족 놈들이 여왕 여왕 거리면서감히 건방지고 골치 아픈 올가미를 내놓았다‘부군을 선택하여 왕가의 대를 이으소서’그 속이 빤해서 다 엎어버리고 싶지만,후대를 생각하면 결혼을 하긴 해야겠고…바벨에서 두 번째로 높은 사람이 되기 위한사내들의 청혼서가 미친 듯이 몰려오는데…엄선되고 또 엄선된 남편 후보들이겉은 그럴듯한데 죄다 뭔가 이상하다?바벨 아카데미 역사상 최연소 천재 교수 : 부드럽고 지적인… 고자?소탈하고 낙천적인 수도 방위군 장교 : 상큼하고 귀여운데… 약혼녀가 있네?바벨의 대장군이자 공작가의 후예 : 든든한 전우이긴 한데… 친구의 애인이잖아?그리고, 바벨에서 가장 아름다운 정치계의 젊은 영웅 : 용모와 이력은 화려하지만… 이미 예전에 반품한 놈이다…과연, 아로아의 선택은?","긴장감있는,통쾌한,로맨스판타지,하렘물",https://webtoon.kakao.com/content/%EC%97%AC%EC%99%95%EB%8B%98-%EC%95%88-%EB%8F%BC%EC%9A%94/3111
헬무트,kakaowebtoon,김난새,"채3, 스튜디오 크힛",학원/판타지,연재,토,104.1만,3.4만,69,3,3시간마다 무료,"어둠의 싹을 가지고 태어난 아이, 헬무트태어나자마자 누구도 나오지 못하는 마물의 숲 '파헤'에 버려졌지만,운 좋게 마물 '엘라가'에 의해 거두어진다""이 숲은 나갈 수 없잖아""""나갈 수 있어 내가 만난 인간이 그랬거든""""인간?""마물의 손에 길러진 아이,마침내 인간이 되기 위한 모험을 시작한다","몰입되는,환상적인,학원/판타지,가상시대물",https://webtoon.kakao.com/content/%ED%97%AC%EB%AC%B4%ED%8A%B8/3217
회귀 경찰의 리셋 라이프,kakaowebtoon,김결,김결,판타지 드라마,연재,토,436.6만,12.5만,78,3,3시간마다 무료,"악바리로 소문난 지능범죄수사대의 팀장 최종혁정/재계를 아우르고 있는 거대한 범죄조직의 존재를 깨달은 그는온갖 압력에도 굴복하지 않고 꿋꿋이 그 뒤를 추적한다그러던 와중, 갑작스레 들려온 어머니의 부고를 듣고정신없이 병원으로 가다 그만 의문의 사고를 당하고 마는데“경찰대건 법대건 무조건 간다”부족했던 힘 탓에 맞이했던 억울한 죽음을 또 다시 당하지 않기 위해,자신과 같은 억울한 피해자를 더 이상 만들지 않기 위해,1997년, 과거로 돌아온 경찰 최종혁의 리셋 라이프가 시작된다","통쾌한,몰입되는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%ED%9A%8C%EA%B7%80-%EA%B2%BD%EC%B0%B0%EC%9D%98-%EB%A6%AC%EC%85%8B-%EB%9D%BC%EC%9D%B4%ED%94%84/3284
스킬빨로 레벨업,kakaowebtoon,비단살쮜(GOLEM FACTORY),Runbel(whomor),학원/판타지,연재,토,208.2만,6.4만,65,3,3시간마다 무료,"2020년 인류를 삼킨 정체모를 괴물들위험에 빠진 인류에게 주어진 4가지의 선택지각 모드의 미궁을 클리어 한 플레이어들은지구로 돌아와 고신의 침공에 대비해야 한다누구나 살아나갈 수 있는 이지 모드살 사람만 살아 나가는 노말 모드1%만 살아남을 수 있는 하드 모드극악의 난이도 얼론 모드기상천외한 방법으로 미궁을 공략하여남들은 갖지 못한 스킬들을 보유한,인류 최강의 이지 모드 플레이어 강태산「더하기, 곱하기, 공격 무효화, 절대 판정」하지만 '이지 모드' 출신이라절대적인 파워가 부족한데결국 오고야 만 인류 최후의 날절망 속에서 죽어가던 그 때,기적같은 기회가 찾아왔다""이번엔 반드시 더 강해지고 말겠어""다시 한 번 미궁 도전스킬빨 플레이어 강태산의 '얼론 모드' 공략기 ","역동적인,통쾌한,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EC%8A%A4%ED%82%AC%EB%B9%A8%EB%A1%9C-%EB%A0%88%EB%B2%A8%EC%97%85/3540
99대장,kakaowebtoon,플랜에이(공감미디어),플랜에이(공감미디어),학원/판타지,연재,토,234.4만,3.7만,33,34,연재 무료,호랑이의 심장을 가지고 태어난 주인공 나선욱은 사고뭉치였으나 부모님의 소원으로 자신의 강함을 숨기고 오로지 졸업을 목표로 외진 곳에 위치한 조용할 줄 알았던 학교 “국양고등학교”로 전학을 가게 된다그러나 그곳은 다양한 꼰대 문화와 위험한 인물들이 모인 곳이었다조용히 졸업만 하려던 선욱은 결국 뜨거운 피를 참지 못하고그들을 참교육하기 시작한다,"압도되는,통쾌한,학원/판타지,성공성장물",https://webtoon.kakao.com/content/99%EB%8C%80%EC%9E%A5/3862
"공작님, 제발 좀 망하세요!",kakaowebtoon,다히,파머,로맨스 판타지,연재,토,69만,2.7만,33,3,1일마다 무료,"        알터우드 공작령에서 죽어라 일하다 정말로 과로사로 죽었다눈을 뜨니 과거였고, 나는 상사였던 공작에 대한 복수를 다짐했다관리인으로 있는 동안 공작 놈이 죽고 못 사는 영지를 망쳐 버리겠어예산을 엉뚱한 데 펑펑 쓰고이름난 망나니에게 밭을 맡겨 농사를 망치려 했는데……“이렇게 어마어마한 풍작은 난생처음이지?”“감사합니다 관리인님은 저희를 구원해 주신 겁니다”이상하게 일이 자꾸만 잘된다?심지어 이번엔 공작 놈에게 직접 복수를 했더니,“한 번 손을 댔으니 책임을 져야지나에겐 넬리, 네가 필요해”이런 역효과가? 안 돼, 난 아직 복수해야 해공작님, 제발 좀 순순히 망해 주세요","귀여운,설레는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EA%B3%B5%EC%9E%91%EB%8B%98-%EC%A0%9C%EB%B0%9C-%EC%A2%80-%EB%A7%9D%ED%95%98%EC%84%B8%EC%9A%94/3951
소설 속 막내황자가 되었다,kakaowebtoon,gran,gran,학원/판타지,연재,토,35.9만,1.3만,42,3,3시간마다 무료,"용사의 성공이 아닌 실패를 담은 소설 플로시마르 용사 연대기“형편없군”세상을 집어삼킨 황제는 짤막한 감상과 함께 책을 덮으며 눈을 감았다그러나 다시 눈을 뜬 순간, 연대기 속 단 몇 줄등장과 함께 죽음을 맞이하는 유폐 황자가 되어 있었다","통쾌한,몰입되는,학원/판타지,빙의물",https://webtoon.kakao.com/content/%EC%86%8C%EC%84%A4-%EC%86%8D-%EB%A7%89%EB%82%B4%ED%99%A9%EC%9E%90%EA%B0%80-%EB%90%98%EC%97%88%EB%8B%A4/3877
천사혈성,kakaowebtoon,장담,M&K스튜디오,액션/무협,연재,토,52.4만,1.4만,29,3,3시간마다 무료,"거지노릇을 하며 고아로 지내던 천유옥에게 군악이라는 친구가 생긴다 유옥은 군악의 동생 청아의 목숨을 구하고 군악은 그의 목숨을 구하면서 유옥은 군악을 목숨을 주어도 아깝지 않은 친구라고 여긴다 천왕교에 함께 들어가게 된 두 사람은 패왕의 제자와 천왕교의 군사전인 천기원의 후계자로 자라게 된다 지옥십관을 통과하며 암천혈왕이 된 천유옥은 백리군악의 흉계로 목숨을 잃을 뻔하지만 의부인 풍백의 목숨과 바꿔 살아남게 된다천왕교는 천왕곡에만 머물지 않고 천하를 호령하려는 천왕의 욕심과 그를 견제하는 세력으로 분산되지만 백리군악의 계책으로 천하를 향해 웅지를 펼치며 피를 뿌리기 시작하는데……“암천혈왕, 혈사자가 명한다 천왕율을 어기는 자, 피의 율법으로 다스릴지니”얽히고설킨 암계와 음모를 뚫고 천유옥이자 전무심인 그가 천하를 향해 호령한다","처절한,통쾌한,액션/무협,전쟁물",https://webtoon.kakao.com/content/%EC%B2%9C%EC%82%AC%ED%98%88%EC%84%B1/4018
템빨,kakaowebtoon,이동욱(Redice Studio),Team Argo,학원/판타지,연재,토,"3,637.7만",131.9만,233,4,3시간마다 무료,"[신영우 (유저 네임: 그리드)]세계 최고의 가상 현실 게임 <SATISFY> 현실에서나, 게임 속에서나, 불운은 항상 그의 곁을 맴도는데퀘스트 수행 중 우연히 발견한 게임 속 로또, '파그마의 기서' 20억 명이 넘는 유저 중 유일한 최강의 레전드리 직업으로 전직 ""어떻게 아직 살아있는 거지?"" ""뭐, 특별한 건 없고""  ""템빨이죠"" 지긋지긋한 불운과 악몽 같은 빚쟁이 인생에서 벗어난최강 플레이어 ""그리드""고인물도 울고 갈 끝판왕이 찾아온다  [<SATISFY>에 접속합니다]","통쾌한,기발한,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%ED%85%9C%EB%B9%A8/2379
겨울의 글쓰기,kakaowebtoon,윤노아,임성민,드라마,연재,토,32.3만,2.5만,72,73,연재 무료," 시골에서 상경한 정민재는 예의를 다하여 시를 쓰고 싶다과거에 얽매인 한겨울은 자신의 이야기를 소설로 끝내고 싶다각자의 목표를 위해 글을 쓰는, 문예창작과 학생들의 이야기","따뜻한,가슴먹먹한,드라마,캠퍼스물",https://webtoon.kakao.com/content/%EA%B2%A8%EC%9A%B8%EC%9D%98-%EA%B8%80%EC%93%B0%EA%B8%B0/3362
겜잘알,kakaowebtoon,S,Jencil,판타지 드라마,연재,토,18.4만,"6,146",74,3,1일마다 무료,"변변한 직업 없이 하루의 절반 이상을 '파이널 킹덤'이란 가상현실 게임에서 아이템을 파밍 하여 생계를 유지하고 있던 문선우돈에 대해 포부를 갖고 있던 선우는 지인을 통해 일자리를 소개받지만 그것은 함정이었고,위험 끝에 선우는 히든 퀘스트 조건을 충족하여 숨겨진 장소로 이동하여 봉인된 여인, 세진을 깨우게 된다알고 보니 세진은 '파이널 킹덤'에 대해 모르는 것이 없는 공략집선우는 모든 히든 퀘스트를 클리어하는 것을 목표로 삼아 큰 부자가 될 것을 계획하게 되는데","역동적인,통쾌한,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EA%B2%9C%EC%9E%98%EC%95%8C/3512
난 할 수 있어,kakaowebtoon,이으뜸(악어스튜디오),Kim쿤(악어스튜디오),드라마,연재,토,42.3만,1.4만,58,3,3시간마다 무료,"10년 차 직장인 '조대찬’ 대리악덕 상사의 갑질을 견디다 못해젊은 나이에 과로사로 허무하게 죽고 말았다이제 다 끝난 줄로만 알았는데…18년 전, 고등학생 몸으로 다시 눈을 떴다두 번 다시 없을 기적 같은 기회이번 생에는 이 악물고 독하게 살아보겠다짓밟혔던 생을 청산하고 보란듯이 성공하리라내가 못 할 것 같아? 아니, 난 할 수 있어","통쾌한,몰입되는,드라마,성공성장물",https://webtoon.kakao.com/content/%EB%82%9C-%ED%95%A0-%EC%88%98-%EC%9E%88%EC%96%B4/3677
폭군의 순결을 빼앗아 버렸다,kakaowebtoon,단풍새,혜,로맨스 판타지,시즌완결,토,114.8만,3.3만,50,3,3시간마다 무료,"로판 덕후 삼수생, 유혜성가련한 악녀 ‘유디스’에 빙의했다피나는 노력 끝에 가족들 사랑도 독차지했겠다,이제 착한 남편만 만나면 금수저 꽃길이 코앞이다그런데 남편감 고르러 간 무도회에서 하필이면 폭군 남주의 순결을 빼앗고 말았다고?""감히 황제의 순결을 빼앗아 놓고 떠나겠다고? 이건 반역죄야""'아니, 어젯밤은 합의였잖아요'""유디스, 넌 내 처음을 빼앗았어 그러니 이제 책임도 져야겠지?""…별 수 없지당신의 순결, 제가 끝까지 책임져 드릴게요","발랄한,설레는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%ED%8F%AD%EA%B5%B0%EC%9D%98-%EC%88%9C%EA%B2%B0%EC%9D%84-%EB%B9%BC%EC%95%97%EC%95%84-%EB%B2%84%EB%A0%B8%EB%8B%A4/3716
이번 생은 우주대스타,kakaowebtoon,국끼,솔,판타지 드라마,연재,토,97만,4.6만,52,3,3시간마다 무료,"빛나는 재능과 노력, 그리고 열정을 겸비했지만단 한 가지, ‘춤’이 부족한 아이돌 지망생 선우주단 하나의 꿈이었던 아이돌을 포기할 수밖에 없었고,다른 인생을 준비하던 어느 날, 그에게 기적이 찾아왔다""누구보다 반짝이는 스타가 되겠어""지독했던 춤 실력은 더 이상 문제가 되지 않는다 우비중리지마침내 모든 것을 다 갖춘 준비된 다섯 명의 아이돌지금 연예계에 괴물 신인이 등장한다지금은 '뉴블랙'이번 생은 우주대스타","따뜻한,발랄한,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EC%9D%B4%EB%B2%88-%EC%83%9D%EC%9D%80-%EC%9A%B0%EC%A3%BC%EB%8C%80%EC%8A%A4%ED%83%80/3735
에보니,kakaowebtoon,,"REDICE STUDIO, 네이다",로맨스 판타지,연재,토,608.9만,23.7만,141,3,1일마다 무료,"아버지와 약혼자를 살해한 패륜 종속 살인마,에보니 보냐크 사형선고를 받고 죽을 날만 기다리고 있던 그녀는 어느날 자신에게 후견인이 생겼다는 소식을 듣고 석방되어대공의 성으로 보내지게 되는데 ""자, 어서 발을 넣어요 너무 뜨거우면 말하고"" 지하에 감금당하거나 쥐도 새도 모르게 죽임을 당할 거라고 생각했다 하지만 그녀를 기다리고 있는 건 너무나 상냥한 저택의 고용인들 그리고 ""에보니 보냐크, 너는 노예인가?""""왜 너 자신에 대한 소유권을 주장하지 않지?"" 자꾸만 그녀의 마음을 건드리는 수상한 대공 '단테 보르드 슈나이더' 그로 인해 에보니의 삶은 변하기 시작하는데","감동적인,몰입되는,로맨스판타지,성공성장물",https://webtoon.kakao.com/content/%EC%97%90%EB%B3%B4%EB%8B%88/2348
남주의 복지를 책임지겠습니다,kakaowebtoon,앤트스튜디오,"앤트스튜디오, 개떡",로맨스 판타지,연재,토,146.3만,6.6만,97,3,3일마다 무료,"내가 대충 쓰다 연중한 피폐 소설 속으로 빙의했다하필이면 남주에게 휘말려 죽을 설정인 악녀, '라리아 셔우드'로이건 등장인물들을 고통받게 한 죗값인 걸까?나 때문에 기구한 운명을 갖게 된 남주의 복지를 위해서,아이들과의 관계를 개선하고 여주와의 해피엔딩도 이뤄 주겠어그렇게 등장인물들의 복지를 위해 열심히 일했을 뿐인데…""모두에게 소개하지 나와 결혼을 약속한 라리아 셔우드 영애다""""라리아가 제일 조아 언제 우리 엄마 돼?""""아가씨께서 이 대공가의 안주인이 되어 주십시오""…뭔가 일이 단단히 잘못되어 가고 있는 것 같다","따뜻한,귀여운,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EB%82%A8%EC%A3%BC%EC%9D%98-%EB%B3%B5%EC%A7%80%EB%A5%BC-%EC%B1%85%EC%9E%84%EC%A7%80%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/3163
가짜 성녀인데 신들이 집착한다,kakaowebtoon,나상,휘낭시에,로맨스 판타지,연재,토,271만,13만,79,3,3일마다 무료,"5년 뒤, 진짜 성녀가 나타나면 죽게 될 가짜 성녀에게 빙의했다성녀에게 떨어지는 월급만 모아도 최소 건물주그래서 적당히 성녀 연기를 하다가 도망칠 계획을 세우고 있었는데…""나를 선택해라, 그렇지 않으면…""""당신만을 위한 감옥을 준비했습니다 나의 여신―""""……""예상과 다른 반응의 남주들『심심해하던 태초의 존재들이 당신을 보며 호기심을 가집니다』그리고 의도치 않게 신들의 관심을 한 몸에 받게 된 애리얼거기에 이 세상을 멸망시킬 예정인 흑막은날 죽이기는 커녕 협조하겠다고…?아니, 나는 신들의 관심이고 세계 멸망이고 관심 없다고 그냥 원래 목표대로 건물주가 되게 해줘―","귀여운,몰입되는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B0%80%EC%A7%9C-%EC%84%B1%EB%85%80%EC%9D%B8%EB%8D%B0-%EC%8B%A0%EB%93%A4%EC%9D%B4-%EC%A7%91%EC%B0%A9%ED%95%9C%EB%8B%A4/3403
